Team,Stadium,Location,Capacity,Founded
Arizona Cardinals,State Farm Stadium,Glendale,63400,1898
Atlanta Falcons,Mercedes-Benz Stadium,Atlanta,71000,1966
Baltimore Ravens,M&T Bank Stadium,Baltimore,71008,1996
Buffalo Bills,Highmark Stadium,Orchard Park,71608,1960
Carolina Panthers,Bank of America Stadium,Charlotte,75523,1995
Chicago Bears,Soldier Field,Chicago,61500,1919
Cincinnati Bengals,Paul Brown Stadium,Cincinnati,65515,1968
Cleveland Browns,FirstEnergy Stadium,Cleveland,67835,1946
Dallas Cowboys,AT&T Stadium,Arlington,80000,1960
Denver Broncos,Empower Field at Mile High,Denver,76125,1960
Detroit Lions,Ford Field,Detroit,64500,1929
Green Bay Packers,Lambeau Field,Green Bay,81441,1919
Houston Texans,NRG Stadium,Houston,72220,2002
Indianapolis Colts,Lucas Oil Stadium,Indianapolis,67000,1953
Jacksonville Jaguars,TIAA Bank Field,Jacksonville,67246,1995
Kansas City Chiefs,Arrowhead Stadium,Kansas City,76416,1960
Las Vegas Raiders,Allegiant Stadium,Paradise,65000,1960
Los Angeles Chargers,SoFi Stadium,Inglewood,70815,1960
Los Angeles Rams,SoFi Stadium,Inglewood,70815,1936
Miami Dolphins,Hard Rock Stadium,Miami Gardens,64767,1966
Minnesota Vikings,U.S. Bank Stadium,Minneapolis,66655,1961
New England Patriots,Gillette Stadium,Foxborough,65875,1959
New Orleans Saints,Caesar's Superdome,New Orleans,73208,1967
New York Giants,MetLife Stadium,East Rutherford,82500,1925
New York Jets,MetLife Stadium,East Rutherford,82500,1959
Philadelphia Eagles,Lincoln Financial Field,Philadelphia,69296,1933
Pittsburgh Steelers,Heinz Field,Pittsburgh,68400,1933
San Francisco 49ers,Levi's Stadium,Santa Clara,68500,1946
Seattle Seahawks,Climate Pledge Arena,Seattle,69000,1976
Tampa Bay Buccaneers,Raymond James Stadium,Tampa,65775,1976
Tennessee Titans,Nissan Stadium,Nashville,69143,1960
Washington Commanders,FedExField,Landover,82500,1932